keys,es,en
LOGIN,Login,Login
REGISTER,Registrar,Register
USER_PLACEHOLDER,"Usuario...","Username..."
CHAR_CREATION_TITLE,Cree su personaje,Create your character
HATS,Sombreros,Hats
HAIR,Cabello,Hair
EYES,Ojos,Eyes
GLASSES,Anteojos,Glasses
FACIAL_HAIR,Vello Facial,Facial Hair
BODY,Cuerpo,Body
OUTFIT,Ropa,Outfit
OWN_PLAYER_LABEL,Vos,You
OPTION_CONTINUE,Continuar,Continue
OPTION_QUIT,Salir,Quit
CHAT_PLACEHOLDER,"Diga algo...","Say something..."
CHAT_SEND,Enviar,Send
LOADING_SERVER,"Esperando servidor...","Waiting for server..."
LOADING_LEVEL,"Cargando nivel...","Loading level..."
NPC_WELCOME_1,"¡Bienvenido a Fiubakka!","Welcome to Fiubakka!"
NPC_WELCOME_2,"Podes tomar las escaleras o bajar al comedor","You can go uptairs or downstairs"
NPC_KIOSK,"Bienvenido al Comedor. ¿En qué te puedo ayudar?","Weclome to the Kiosk. How can I help you?"
TRUCO_BUTTON,Truco,Truco
TRUCO_CHALLENGE," te desafió al Truco! ¿Aceptás?"," has challenged you to play Truco! Do you accept?"
